School Year,School ID,School Name,Test,# Students,Average Composite Score,Average EBRW Score,Average Math Score,% Meeting College Readiness Benchmark,% Partially Met State EBRW Standards,% Approached State EBRW Standards,% Met State EBRW Standards,% Exceeded State EBRW Standards,% Met or Exceeded State EBRW Standards,% Partially Met State Math Standards,% Approached State Math Standards,% Met State Math Standards,% Exceeded State Math Standards,% Met or Exceeded State Math Standards
2016-2017,610385,MULTICULTURAL HS,PSAT 9,42,740,361,379,14.3, , , , , , , , , , 
2016-2017,610385,MULTICULTURAL HS,PSAT 10,71,786,381,405,7, , , , , , , , , , 
2016-2017,610385,MULTICULTURAL HS,SAT,50,828,415,413,6,62,34,4,0,4,68,28,4,0,4
2016-2017,610385,MULTICULTURAL HS,Combined,163, , , ,8.6, , , , , , , , , , 
2016-2017,610386,PEACE AND EDUCATION HS,SAT,31,778,400,378,0,83.9,16.1,0,0,0,93.5,6.5,0,0,0
2016-2017,610386,PEACE AND EDUCATION HS,Combined,31, , , ,0, , , , , , , , , , 
2016-2017,610389,ORR HS,PSAT 9,66,706,343,363,6.1, , , , , , , , , , 
2016-2017,610389,ORR HS,PSAT 10,73,737,362,372,0, , , , , , , , , , 
2016-2017,610389,ORR HS,SAT,77,784,396,388,3.9,79.2,18.2,2.6,0,2.6,85.7,11.7,2.6,0,2.6
2016-2017,610389,ORR HS,Combined,216, , , ,3.2, , , , , , , , , , 
2016-2017,610390,RICKOVER MILITARY HS,PSAT 9,145,803,393,409,33.1, , , , , , , , , , 
2016-2017,610390,RICKOVER MILITARY HS,PSAT 10,125,849,424,425,32, , , , , , , , , , 
2016-2017,610390,RICKOVER MILITARY HS,SAT,173,951,485,465,27.7,22.5,54.9,20.2,2.3,22.5,35.8,48.6,15,0.6,15.6
2016-2017,610390,RICKOVER MILITARY HS,Combined,443, , , ,30.7, , , , , , , , , , 
2016-2017,610391,LINDBLOM HS,PSAT 9,260,965,479,487,88.8, , , , , , , , , , 
2016-2017,610391,LINDBLOM HS,PSAT 10,275,1010,506,504,83.3, , , , , , , , , , 
2016-2017,610391,LINDBLOM HS,SAT,244,1121,572,549,86.5,0.8,24.6,58.6,16,74.6,3.3,41.8,49.6,5.3,54.9
2016-2017,610391,LINDBLOM HS,Combined,779, , , ,86.1, , , , , , , , , , 
2016-2017,610392,WORLD LANGUAGE HS,PSAT 9,98,757,369,388,13.3, , , , , , , , , , 
2016-2017,610392,WORLD LANGUAGE HS,PSAT 10,81,849,425,423,28.4, , , , , , , , , , 
2016-2017,610392,WORLD LANGUAGE HS,SAT,72,874,453,421,13.9,36.1,51.4,12.5,0,12.5,68.1,30.6,1.4,0,1.4
2016-2017,610392,WORLD LANGUAGE HS,Combined,251, , , ,18.3, , , , , , , , , , 
2016-2017,610394,UPLIFT HS,PSAT 9,54,687,343,343,5.6, , , , , , , , , , 
2016-2017,610394,UPLIFT HS,PSAT 10,61,797,393,402,14.8, , , , , , , , , , 
2016-2017,610394,UPLIFT HS,SAT,53,835,430,405,9.4,54.7,34,9.4,1.9,11.3,73.6,24.5,1.9,0,1.9
2016-2017,610394,UPLIFT HS,Combined,168, , , ,10.1, , , , , , , , , , 
2016-2017,610402,DEVRY HS,SAT,91,1071,540,530,74.7,4.4,40.7,45.1,9.9,54.9,9.9,45.1,44,1.1,45.1
2016-2017,610402,DEVRY HS,Combined,91, , , ,74.7, , , , , , , , , , 
2016-2017,610495,DUAL ENR OSS SCHOOLS,SAT,3, , , , , , , , , , , , , , 
2016-2017,610495,DUAL ENR OSS SCHOOLS,Combined,3, , , , , , , , , , , , , , 
2016-2017,610497,CITYWIDE OSS SCHOOLS,SAT,20,775,398,378,10,70,25,5,0,5,80,20,0,0,0
2016-2017,610497,CITYWIDE OSS SCHOOLS,Combined,20, , , ,10, , , , , , , , , , 
2016-2017,610499,COLLINS HS,PSAT 9,56,713,355,358,10.7, , , , , , , , , , 
2016-2017,610499,COLLINS HS,PSAT 10,61,765,377,388,4.9, , , , , , , , , , 
2016-2017,610499,COLLINS HS,SAT,77,801,401,400,1.3,76.6,23.4,0,0,0,77.9,22.1,0,0,0
2016-2017,610499,COLLINS HS,Combined,194, , , ,5.2, , , , , , , , , , 
2016-2017,610506,TEAM HS,PSAT 9,17,679,321,358,0, , , , , , , , , , 
2016-2017,610506,TEAM HS,PSAT 10,30,724,347,377,0, , , , , , , , , , 
2016-2017,610506,TEAM HS,SAT,40,778,394,385,5,80,15,5,0,5,80,17.5,2.5,0,2.5
2016-2017,610506,TEAM HS,Combined,87, , , ,2.3, , , , , , , , , , 
2016-2017,610513,AIR FORCE HS,PSAT 9,93,792,393,399,23.7, , , , , , , , , , 
2016-2017,610513,AIR FORCE HS,PSAT 10,78,803,391,412,12.8, , , , , , , , , , 
2016-2017,610513,AIR FORCE HS,SAT,85,916,455,461,18.8,37.6,45.9,15.3,1.2,16.5,37.6,51.8,9.4,1.2,10.6
2016-2017,610513,AIR FORCE HS,Combined,256, , , ,18.8, , , , , , , , , , 
2016-2017,610518,AUSTIN CCA HS,PSAT 9,41,698,345,348,4.9, , , , , , , , , , 
2016-2017,610518,AUSTIN CCA HS,PSAT 10,44,749,368,382,2.3, , , , , , , , , , 
2016-2017,610518,AUSTIN CCA HS,SAT,69,802,406,396,4.3,71,21.7,5.8,1.4,7.2,81.2,15.9,2.9,0,2.9
2016-2017,610518,AUSTIN CCA HS,Combined,154, , , ,3.9, , , , , , , , , , 
2016-2017,610524,ALCOTT HS,PSAT 9,93,810,405,404,30.1, , , , , , , , , , 
2016-2017,610524,ALCOTT HS,PSAT 10,85,817,402,415,20, , , , , , , , , , 
2016-2017,610524,ALCOTT HS,SAT,64,966,482,484,35.9,25,51.6,17.2,6.3,23.4,32.8,46.9,20.3,0,20.3
2016-2017,610524,ALCOTT HS,Combined,242, , , ,28.1, , , , , , , , , , 
2016-2017,610529,OGDEN HS,PSAT 9,112,891,441,450,68.8, , , , , , , , , , 
2016-2017,610529,OGDEN HS,PSAT 10,78,875,432,440,41, , , , , , , , , , 
2016-2017,610529,OGDEN HS,SAT,91,1012,516,496,50.5,9.9,50.5,33,6.6,39.6,25.3,44,30.8,0,30.8
2016-2017,610529,OGDEN HS,Combined,281, , , ,55.2, , , , , , , , , , 
2016-2017,610543,SOLORIO HS,PSAT 9,275,875,422,452,57.1, , , , , , , , , , 
