Network,School ID,School Name,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
Network 5,609835,Daniel R Cameron Elementary School, 783 ,20,34,70,77,79,91,76,93,90,81,72,,,,
Network 5,610221,Daniel Webster Elementary School, 311 ,32,36,25,28,28,30,27,22,28,34,21,,,,
Network 5,610503,Frazier Prospective IB Magnet ES, 252 ,,,30,39,39,34,21,25,20,21,23,,,,
Network 5,609854,Frederic Chopin Elementary School, 461 ,15,29,42,47,47,50,44,52,40,50,45,,,,
Network 5,610293,Genevieve Melody Elementary School, 509 ,40,58,46,41,42,58,48,48,33,46,49,,,,
Network 5,610202,George W Tilton Elementary School, 346 ,22,16,42,38,35,36,44,27,38,24,24,,,,
Network 5,609693,George Westinghouse College Prep," 1,150 ",,,,,,,,,,,,307,284,278,281
Network 5,610192,Harriet Beecher Stowe Elementary School, 692 ,17,45,61,68,78,74,73,65,63,72,76,,,,
Network 5,609985,Helen M Hefferan Elementary School, 368 ,23,36,33,40,45,29,36,33,24,29,40,,,,
Network 5,609797,Jacob Beidler Elementary School, 482 ,21,41,45,48,45,59,48,36,41,58,40,,,,
Network 5,610044,James Russell Lowell Elementary School, 509 ,18,57,52,45,44,59,48,39,57,39,51,,,,
Network 5,610271,Jensen Elementary Scholastic Academy, 450 ,18,32,37,41,48,53,44,56,43,37,41,,,,
Network 5,609723,John Marshall Metropolitan High School, 370 ,,,,,,,,,,,,79,99,111,81
Network 5,609954,John Milton Gregory Elementary School, 356 ,17,23,30,38,34,36,35,41,32,43,27,,,,
Network 5,610313,Jose De Diego Elementary Community Academy, 656 ,25,57,75,43,67,60,68,59,61,72,69,,,,
Network 5,609925,Joseph Kellman Corporate Community ES, 347 ,17,22,27,25,34,51,28,41,31,37,34,,,,
Network 5,610133,Laura S Ward Elementary School, 513 ,21,36,39,56,54,60,55,46,55,39,52,,,,
Network 5,610034,Lawndale Elementary Community Academy, 301 ,16,43,26,24,25,38,34,23,30,19,23,,,,
Network 5,609907,Leif Ericson Elementary Scholastic Academy, 467 ,18,38,51,49,49,52,46,35,45,39,45,,,,
Network 5,609722,Manley Career Academy High School, 177 ,,,,,,,,,,,,26,50,47,54
Network 5,610055,Michael Faraday Elementary School, 306 ,13,27,31,36,27,34,31,29,25,27,26,,,,
Network 5,609691,North-Grand High School, 961 ,,,,,,,,,,,,222,279,241,219
Network 5,610234,Richard Yates Elementary School, 508 ,10,57,45,44,57,52,59,36,48,46,54,,,,
Network 5,610056,Roswell B Mason Elementary School, 370 ,24,23,33,31,41,44,40,33,27,41,33,,,,
Network 5,610100,West Park Elementary Academy, 648 ,18,37,52,65,77,71,76,63,67,66,56,,,,
Network 5,610251,Willa Cather Elementary School, 394 ,12,32,35,50,38,49,41,31,42,34,30,,,,
Network 5,610123,William Penn Elementary School, 362 ,18,28,30,31,36,35,49,27,38,41,29,,,,
Network 6,610229,A.N. Pritzker School, 747 ,13,16,69,68,74,78,89,76,110,78,76,,,,
Network 6,609947,Alexander Graham Elementary School, 449 ,11,28,34,40,49,41,54,48,48,43,53,,,,
Network 6,610060,Andrew Jackson Elementary Language Academy, 561 ,,,60,60,62,64,64,64,64,63,60,,,,
Network 6,609996,Charles N Holden Elementary School, 498 ,13,28,46,53,54,54,46,55,55,48,46,,,,
Network 6,610012,Edward Jenner Elementary Academy of the Arts, 238 ,2,16,20,18,38,30,26,18,27,24,19,,,,
Network 6,610009,Galileo Math & Science Scholastic Academy ES, 577 ,,,71,75,70,68,63,58,58,58,56,,,,
Network 6,610062,George B McClellan Elementary School, 366 ,15,32,45,41,34,42,43,26,35,27,26,,,,
Network 6,610107,James Otis Elementary School, 497 ,11,37,41,51,37,45,58,55,57,54,51,,,,
Network 6,610217,James Ward Elementary School, 558 ,20,19,60,60,62,59,64,62,53,55,44,,,,
Network 6,609959,John Charles Haines Elementary School, 671 ,16,17,64,60,78,72,70,79,83,75,57,,,,
Network 6,610180,John M Smyth Elementary School, 436 ,29,35,41,53,39,49,46,39,37,36,32,,,,
Network 6,609828,Jonathan Burr Elementary School, 445 ,31,46,56,57,53,55,39,34,25,24,25,,,,
Network 6,610081,Mark Sheridan Math & Science Academy, 563 ,,,60,64,64,65,64,64,64,57,61,,,,
Network 6,610529,Ogden International High School, 716 ,,,,,,,,,106,97,121,125,88,96,83
Network 6,609777,Phillip D Armour Elementary School, 274 ,10,10,34,22,28,26,29,29,24,25,37,,,,
Network 6,610138,Pulaski International School of Chicago, 911 ,26,69,93,96,88,98,102,77,92,82,88,,,,
Network 6,609769,Ray Graham Training Center High School, 119 ,,,,,,,,,,,,,3,22,94
Network 6,610561,Richard T Crane Medical Preparatory HS, 590 ,,,,,,,,,,,,153,172,140,125
Network 6,609979,Robert Healy Elementary School," 1,472 ",24,52,130,184,174,176,167,159,145,141,120,,,,
Network 6,610252,Robert Nathaniel Dett Elementary School, 309 ,17,36,27,25,26,40,22,32,23,38,23,,,,
Network 6,610029,Rodolfo Lozano Bilingual & International Ctr ES, 232 ,9,11,23,19,24,22,17,22,27,25,33,,,,
Network 6,610250,Rueben Salazar Elementary Bilingual Center, 366 ,8,12,33,37,34,41,46,35,35,41,44,,,,
Network 6,609750,Simpson Academy HS for Young Women, 64 ,,,,,,,,,,,4,9,19,8,24
Network 6,610548,STEM Magnet Academy, 461 ,,,58,55,58,53,55,54,55,31,42,,,,
Network 6,610405,Suder Montessori Magnet ES, 411 ,39,37,41,46,42,33,42,28,39,25,39,,,,
Network 6,609896,Thomas Drummond Elementary School, 353 ,35,34,41,37,36,36,33,29,25,23,24,,,,
Network 6,610121,Washington Irving Elementary School, 478 ,9,22,41,49,47,54,50,44,54,47,61,,,,
Network 6,610101,William B Ogden Elementary School, 836 ,,,128,162,150,152,131,113,,,,,,,
Network 6,609812,William H Brown Elementary School, 286 ,12,19,31,33,21,24,29,29,29,27,32,,,,
